ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
HLIO,HLIO,USA,--,--,77.03,USD,80.0,3.7,2545.6,377.4,8.05,-3.23,Bullish,BUY,,839.0,1.58,2026-05-17T12:03:53.903465
OABI,OABI,USA,--,--,2.18,USD,2.3,5.0,316.0,544.9,-12.12,-38.87,Bearish,Strong BUY,,18.7,4.02,2026-05-17T12:03:54.503689
PAGP,PAGP,USA,--,--,24.56,USD,24.76,0.8,4860.5,1927.1,37.01,36.11,Bullish,BUY,,44262.0,0.92,2026-05-17T12:03:54.753149
DLTR,DLTR,USA,--,--,89.58,USD,142.4,37.1,17443.5,3353.6,-83.24,-81.85,OVERSOLD,Turning Up,,19411.8,0.29,2026-05-17T12:03:54.844527
MNR,MNR,USA,--,--,14.45,USD,15.6,7.4,2430.8,715.7,26.64,20.99,Bullish,BUY,,1175.4,0.93,2026-05-17T12:03:54.952600
ALL,ALL,USA,--,--,217.37,USD,222.23,2.2,55955.6,1464.0,38.95,38.71,Bullish,BUY,,67069.0,,2026-05-17T12:03:55.176130
WMB,WMB,USA,--,--,77.72,USD,78.24,0.7,95051.4,6371.6,31.52,28.48,Bullish,BUY,,11950.0,0.48,2026-05-17T12:03:55.445531
STUB,STUB,USA,--,--,8.82,USD,27.89,68.4,3297.3,4627.4,-22.35,-41.3,Bearish,Strong BUY,,1745.2,1.03,2026-05-17T12:03:55.520156
UMAC,UMAC,USA,--,--,16.2,USD,23.38,30.7,774.3,4449.7,-39.19,-42.26,Bearish,Strong BUY,,11.2,59.27,2026-05-17T12:03:55.749772
BW,BW,USA,--,--,21.85,USD,22.03,0.8,2976.2,4298.0,50.76,49.06,OVERBOUGHT,BUY,,587.7,1.06,2026-05-17T12:03:55.835156
SM,SM,USA,--,--,32.59,USD,33.25,2.0,7813.4,6111.9,48.03,45.78,OVERBOUGHT,BUY,,3138.0,0.69,2026-05-17T12:03:55.969982
RPD,RPD,USA,--,--,6.5,USD,25.85,74.9,434.4,2177.2,-16.33,-37.54,Bearish,Strong BUY,,859.8,1.28,2026-05-17T12:03:56.174299
CL,CL,USA,--,--,88.13,USD,99.33,11.3,70520.7,5996.4,-32.21,-40.86,Bearish,Strong BUY,,20382.0,0.54,2026-05-17T12:03:56.273195
HSY,HSY,USA,--,--,186.98,USD,239.48,21.9,37927.7,1907.4,-74.88,-69.34,OVERSOLD,Turning Up,,11692.6,0.72,2026-05-17T12:03:56.344171
AGYS,AGYS,USA,--,--,67.34,USD,145.25,53.6,1892.8,303.0,-39.87,-50.17,Bearish,Strong BUY,,275.6,1.07,2026-05-17T12:03:56.400834
PSX,PSX,USA,--,--,176.2,USD,190.61,7.6,70644.7,3197.2,5.75,5.45,Bullish,BUY,,132376.0,0.91,2026-05-17T12:03:56.513317
